,Istituzione,Numero_Collaborazioni
0,Sapienza University of Rome,476
1,University of Milan,350
2,University of Florence,346
3,University of Padua,322
4,University of Bologna,317
5,University of Pisa,290
6,University of Turin,290
7,University of Campania Luigi Vanvitelli,280
8,National Research Council,255
9,University of Catania,243
10,University of Palermo,242
11,University of Genoa,234
12,University of Salerno,228
13,University of Bari Aldo Moro,228
14,Politecnico di Milano,211
15,Polytechnic University of Turin,184
16,University of Rome Tor Vergata,184
17,University of Perugia,180
18,University of Pavia,167
19,University of Messina,149
20,University of Siena,147
21,University of Calabria,140
22,University of Trieste,140
23,University of Cagliari,122
24,Catholic University of the Sacred Heart,117
25,University of Parma,115
26,University of Milano-Bicocca,112
27,University of Udine,110
28,University of Salento,109
29,University of Modena and Reggio Emilia,101
30,University of Trento,101
31,University of Ferrara,100
32,Magna Graecia University,99
33,Roma Tre University,97
34,Marche Polytechnic University,86
35,University of L'Aquila,86
36,University of Verona,86
37,University of Brescia,82
38,University of Chieti-Pescara,77
39,Ca' Foscari University of Venice,73
40,University of Eastern Piedmont Amadeo Avogadro,73
41,University of Sassari,71
42,French National Centre for Scientific Research,68
43,University of Basilicata,65
44,Imperial College London,65
45,University of Sannio,64
46,University of Cassino and Southern Lazio,63
47,University of Molise,62
48,Spanish National Research Council,56
49,University of Cambridge,55
50,University of Reggio Calabria,52
51,Polytechnic University of Bari,50
52,University of Camerino,48
53,Fraunhofer Society,48
54,Tuscia University,45
55,Wageningen University & Research,43
56,University of Oxford,43
57,University of Foggia,42
58,KU Leuven,42
59,Technical University of Denmark,40
60,ETH Zurich,39
61,"National Research Institute for Agriculture, Food and Environment",38
62,University of Lisbon,37
63,University of Urbino,36
64,Vita-Salute San Raffaele University,36
65,German Aerospace Center,36
66,Università Iuav di Venezia,33
67,Parthenope University of Naples,33
68,University of Insubria,33
69,University of Edinburgh,32
70,Royal Institute of Technology,31
71,Technical University of Munich,30
72,University of Sheffield,30
73,Delft University of Technology,29
74,University of Patras,29
75,University of Bergamo,29
76,Airbus (France),29
77,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,28
78,University College London,28
79,University of Copenhagen,28
80,Karlsruhe Institute of Technology,27
81,Aristotle University of Thessaloniki,27
82,University of Manchester,27
83,Airbus (Germany),27
84,Ghent University,26
85,Atomic Energy and Alternative Energies Commission,25
86,Technical University of Madrid,25
87,University of Bristol,25
88,Italian Aerospace Research Centre,24
89,Max Planck Society,24
90,Scuola Normale Superiore di Pisa,24
91,International School for Advanced Studies,23
92,Lund University,23
93,University of Leeds,23
94,Office National d'Études et de Recherches Aérospatiales,23
95,King's College London,23
96,National and Kapodistrian University of Athens,23
97,École Polytechnique Fédérale de Lausanne,23
98,National Institute of Geophysics and Volcanology,22
99,RWTH Aachen University,22
