,Anno_Inizio,Capacita_Progetti,Fondi_media_Progetti
0,2023,1.4753349446777672e-07,6778121.833333333
1,2022,1.1781818589868586e-07,8487654.027027028
2,2021,3.502779956988003e-07,2854875.3055555555
3,2020,2.5926674470030303e-07,3857031.495327103
4,2019,3.1715839776842276e-07,3152998.65
5,2018,1.4079548234517793e-07,7102500.615384615
6,2017,8.769098269712558e-07,1140368.1076923078
7,2016,3.4012757175805785e-07,2940073.3225806453
8,2015,1.1993647057412511e-06,833774.7435897436
9,2014,7.626249936644929e-08,13112604.6
10,2013,3.181971853702506e-07,3142705.36
11,2012,6.190099263786993e-07,1615482.9791666667
12,2011,3.321015401530313e-07,3011127.2580645164
13,2010,7.892500038040015e-07,1267025.6511627906
14,2009,1.0236680256181615e-06,976879.1981132076
15,2008,1.0097800242614886e-06,990314.6982248521
16,2007,1.600390229785493e-06,624847.6036585366
17,2006,8.359607451094799e-07,1196228.4184397163
18,2005,2.2869808330353354e-06,437257.7091836735
19,2004,1.374180988855421e-06,727706.1814345991
20,2003,3.427765192924208e-06,291735.2688172043
21,2002,2.1090627756468003e-06,474144.25570776255
